xgboost_weight,catboost_weight,rmse,r2
0.05,0.95,0.41171486889925746,0.7313330213625354
0.1,0.9,0.41278784279807534,0.7299308456707477
0.15,0.85,0.4140263563629128,0.7283078032087189
0.2,0.8,0.41542892693785466,0.726463896733947
0.25,0.75,0.4169939110306736,0.7243991104696266
0.3,0.7,0.41871945918593595,0.7221134820777426
0.35,0.65,0.4206036321145042,0.7196069623952681
0.4,0.6,0.42264426563314883,0.7168796086474449
0.45,0.55,0.4248391703056884,0.7139313331044882
0.5,0.5,0.4271858895322687,0.7107622422649473
0.55,0.45,0.4296819738715233,0.7073722844125102
0.6,0.4,0.4323248355667844,0.7037614604064479
0.65,0.35,0.43511185121145013,0.6999296996901763
0.7,0.3,0.43804015426914433,0.6958771619786641
0.75,0.25,0.44110700049873314,0.6916037499884813
0.8,0.2,0.4443095154156292,0.6871094716228372
0.85,0.15,0.4476448285156632,0.6823942683249389
0.9,0.1,0.4511099551154468,0.677458196057825
0.95,0.05,0.4547018705366022,0.6723013368305886
