xgboost_weight,catboost_weight,roc_auc,auprc
0.05,0.95,0.8463400040601327,0.799600995380634
0.1,0.9,0.8470986078018655,0.8007765796873129
0.15,0.85,0.8477209834068786,0.8017789021093977
0.2,0.8,0.848599788445717,0.8030948586544389
0.25,0.75,0.8493984592864852,0.8040692764509152
0.3,0.7,0.8501356939087326,0.8049333219897328
0.35,0.65,0.8506619084760613,0.8060705990834134
0.4,0.6,0.8510999754255125,0.8067406282498003
0.45,0.55,0.8514285256376011,0.8075645818602197
0.5,0.5,0.8516101631532272,0.807532372627145
0.55,0.45,0.8518238543480816,0.8079843664613394
0.6,0.4,0.8519974784439007,0.8081372430717176
0.65,0.35,0.8520722703620998,0.808154721423316
0.7,0.3,0.8519894650240937,0.8080404619964024
0.75,0.25,0.8521417200004273,0.8087466097355331
0.8,0.2,0.8520188475633861,0.8083671654414576
0.85,0.15,0.8518372100477599,0.8080195909710169
0.9,0.1,0.8515914651736776,0.8079238149224138
0.95,0.05,0.8514311967775368,0.8075026770108638
